Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
28,46.3584434834,7.29382608129,0.0,0.0,34.4587396542,57.8108479164,4060.98,4077.98,4059.03,4065.05,1.0
29,43.3803024653,4.92603705356,0.0,0.0,33.631074326,55.576369201,4065.05,4066.96,4052.0,4064.04,-1.0
30,40.6672039173,4.14436716512,0.0,0.0,45.2347783332,52.6357148306,4064.04,4084.5,4064.0,4078.2,1.0
31,38.0169158718,2.35195494866,0.0,0.0,33.5982955011,50.5262996425,4078.2,4080.04,4061.0,4064.0,-1.0
32,35.5559341153,1.48084047765,0.0,0.0,39.3509792674,47.9131406313,4064.82,4074.42,4063.97,4071.02,1.0
33,33.2227871188,0.215085943641,6.38560095589,-6.17051501225,33.5327378513,46.0117693839,4070.02,4072.18,4063.0,4063.92,-1.0
34,31.0920484678,-0.455178559571,5.0174450528,-5.47262361237,36.8597885766,43.850908756,4063.95,4072.9,4063.07,4067.98,1.0
35,30.1823459624,-3.78709315827,3.25653741058,-7.04363056886,7.97344915185,43.4347772366,4067.98,4069.71,4028.52,4032.73,-1.0
36,29.5767021543,-5.85423886201,1.43438215607,-7.28862101807,13.8177680241,40.0590471473,4034.69,4045.0,4022.0,4039.0,1.0
37,27.7990512464,-5.49414801608,0.0486761216374,-5.54282413772,33.3089490368,38.1646812628,4039.0,4069.0,4036.0,4062.98,1.0
38,25.8771365818,-6.18086717649,-1.19723253799,-4.9836346385,22.7993172397,37.5883615136,4063.0,4075.0,4045.61,4050.05,-1.0
39,24.463294982,-6.79124979873,-2.31603599014,-4.4752138086,21.3443875478,35.5893252917,4050.0,4050.96,4037.12,4048.26,-1.0
40,22.8426383049,-6.61372906347,-3.1755746048,-3.43815445867,32.8529411765,31.6065504203,4048.29,4063.0,4047.29,4055.51,1.0
41,21.2365857959,-7.22491676019,-3.98544303588,-3.23947372431,37.056,29.9907364641,4055.51,4059.0,4045.16,4045.16,-1.0
42,19.9452406201,-7.91977986434,-4.77231040157,-3.14746946277,31.072,30.415657549,4045.95,4050.94,4040.0,4041.42,-1.0
43,18.7461343854,-8.40743865119,-5.4993360515,-2.90810259969,30.4,30.1737475737,4040.99,4044.13,4040.0,4041.0,1.0
44,17.864805762,-8.63466489557,-6.12640182031,-2.50826307526,34.011026878,29.9429565504,4041.26,4044.9,4035.59,4041.74,1.0
45,17.5802573663,-10.0416978233,-6.9094610209,-3.13223680237,5.84905660377,29.1412600179,4041.74,4046.25,4025.0,4025.1,-1.0
46,17.5560458869,-10.9012056974,-7.70780995621,-3.19339574121,12.2,27.1591715253,4025.02,4035.07,4020.0,4026.71,1.0
47,18.0750878092,-12.7690115168,-8.72005026833,-4.04896124847,3.25373134328,25.2198158633,4026.71,4029.96,4008.0,4010.18,-1.0
48,19.3949784964,-13.6888136657,-9.7138029478,-3.97501071789,33.1433679741,23.0570296842,4010.15,4019.88,3985.51,4015.17,1.0
49,21.4560864529,-16.2613217463,-11.0233067075,-5.23801503877,29.0128611993,22.7915710697,4015.93,4015.93,3955.26,3990.0,-1.0
50,23.3699724125,-17.6048956356,-12.3396244931,-5.26527114252,34.1072323367,24.2943862159,3991.86,4002.88,3971.93,3996.1,1.0
51,24.1247270958,-17.7732809263,-13.4263557798,-4.34692514658,41.2644062135,25.7436336668,3996.95,4018.0,3996.95,4004.67,1.0
52,24.5694514962,-17.7888160581,-14.2988478354,-3.48996822265,44.8579914609,26.311880608,4004.58,4022.0,3993.8,4003.59,-1.0
53,25.369318073,-17.9644197532,-15.031962219,-2.93245753424,40.5977352887,27.8875001953,4003.65,4007.26,3982.1,3999.0,-1.0
54,26.3336620301,-18.7747711411,-15.7805240034,-2.9942471377,31.5596684018,29.2627393196,3999.02,3999.82,3975.01,3988.0,-1.0
55,26.2421777865,-18.0757043238,-16.2395600675,-1.83614425628,48.8921404682,29.1703626929,3987.05,4014.88,3983.0,4002.04,1.0
56,26.1572281318,-16.8577379646,-16.3631956469,-0.494542317682,57.8085503902,30.0158012977,4002.04,4009.88,3996.0,4007.86,1.0
57,26.3875443076,-16.8194140312,-16.4544393238,-0.36497470741,42.5431366084,31.925554897,4007.96,4009.9,3988.0,3993.97,-1.0
58,26.6014093279,-16.0281412739,-16.3691797138,0.341038439919,50.390152764,32.7929217976,3994.0,4004.99,3988.95,4001.11,1.0
59,26.7999982754,-15.2367094409,-16.1426856592,0.905976218272,57.273524621,33.9628593609,4002.0,4004.26,3995.11,4000.97,-1.0
60,27.4073587788,-15.7201550483,-16.058179537,0.33802448873,39.7590361446,37.6360356479,4000.86,4002.69,3984.96,3984.96,-1.0
61,29.1833396208,-18.3839354524,-16.5233307201,-1.86060473228,11.7792207792,39.6045382296,3984.99,3986.23,3945.0,3954.07,-1.0
