Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
2592,51.7276443074,28.3498681615,30.3454676963,-1.99559953479,82.2837706511,81.1386664766,3780.17,3805.0,3779.92,3786.77,1.0
2593,48.5352483482,24.2182143117,29.1200170193,-4.90180270767,22.2,82.413574853,3786.77,3790.27,3725.0,3742.76,-1.0
2594,45.3629202541,19.2884203916,27.1536976938,-7.86527730219,19.1919191919,77.5440123336,3743.1,3753.0,3706.0,3725.0,-1.0
2595,42.4171870238,16.153129766,24.9535841082,-8.80045434222,31.1818181818,73.2243319492,3724.8,3745.0,3723.85,3736.87,1.0
2596,39.4056920662,13.5796327828,22.6787938432,-9.09916106034,32.0303030303,69.6916256849,3736.37,3751.9,3733.26,3737.71,1.0
2597,37.0426390946,11.0863273654,20.3603005476,-9.2739731822,27.9494949495,65.4413688795,3737.87,3738.47,3722.56,3733.67,-1.0
2598,34.6844713925,10.4743493049,18.3831102991,-7.90876099419,46.5353535354,60.8660982279,3732.98,3754.8,3731.77,3752.07,1.0
2599,32.4947442406,9.30992946479,16.5684741322,-7.25854466741,39.3737373737,58.5045019697,3751.04,3753.99,3741.21,3744.98,-1.0
2600,30.4506525622,8.13358993807,14.8814972934,-6.74790735531,37.3737373737,55.4249343015,3744.98,3748.2,3741.0,3743.0,-1.0
2601,29.3149802141,8.31584711869,13.5683672584,-5.25252013975,52.5252525253,52.0072244799,3743.0,3765.0,3742.71,3758.0,1.0
2602,28.1184914815,7.6778338315,12.3902605731,-4.71242674156,43.8383838384,50.2083596884,3758.0,3760.5,3740.23,3749.4,-1.0
2603,26.6107592551,5.93297631211,11.0988037209,-5.16582740875,29.1818181818,48.1432149262,3748.3,3758.11,3733.34,3734.89,-1.0
2604,24.9703848708,4.01249846858,9.68154267041,-5.66904420182,23.0303030303,44.6552636328,3733.37,3739.98,3719.0,3728.8,-1.0
2605,23.5369679994,3.67545744053,8.48032562443,-4.8048681839,38.3939393939,40.8475524606,3728.79,3752.0,3725.09,3744.01,1.0
2606,23.2650918354,4.24859672123,7.63397984379,-3.38538312256,58.1820339385,37.5064165184,3744.93,3777.0,3742.1,3755.03,1.0
2607,23.0126353973,5.47007511242,7.20119889752,-1.7311237851,83.5492957746,35.784863896,3755.55,3770.23,3754.97,3765.32,1.0
2608,22.9241202103,6.41658866549,7.04427685111,-0.627688185625,80.9827586207,40.1669564514,3765.34,3773.84,3758.88,3765.97,-1.0
2609,22.2925870137,6.36948003994,6.90931748888,-0.53983744894,65.5172413793,44.5805878391,3765.04,3767.97,3750.0,3757.0,-1.0
2610,21.7061633312,5.99354615906,6.72616322291,-0.73261706385,59.7586206897,47.0331180675,3756.97,3763.36,3753.01,3753.66,-1.0
2611,21.028728614,5.84369999987,6.54967057831,-0.705970578433,64.3620689655,49.0137121861,3753.45,3756.84,3751.0,3756.33,1.0
2612,20.1325326468,3.79862167002,5.99946079665,-2.20083912663,24.1379310345,51.6146103301,3756.13,3765.0,3725.11,3733.0,-1.0
2613,19.3003506773,2.37323412761,5.27421546284,-2.90098133523,28.8965517241,50.0147944371,3733.0,3743.0,3731.5,3735.76,1.0
2614,18.8608691188,1.33313580659,4.48599953159,-3.152863725,31.1379310345,49.2664240336,3735.85,3740.0,3725.0,3737.06,1.0
